Date,Close,Volume,Dividends
2000-02-23,24.73005485534668,7614800,0.0
2000-02-24,26.405616760253906,6901200,0.0
2000-02-25,24.45079231262207,4176000,0.0
2000-02-28,24.280136108398438,6549600,0.0
2000-02-29,25.319602966308594,6718800,0.0
2000-03-01,24.916227340698242,5105200,0.0
2000-03-02,20.013660430908203,24963600,0.0
2000-03-03,22.495973587036133,18611200,0.0
2000-03-06,21.30135726928711,6946400,0.0
2000-03-07,20.153291702270508,6066400,0.0
2000-03-08,19.625795364379883,8405600,0.0
2000-03-09,19.393075942993164,10022000,0.0
2000-03-10,20.66526222229004,15000800,0.0
2000-03-13,20.386001586914062,6446400,0.0
2000-03-14,20.215343475341797,12852800,0.0
2000-03-15,20.742835998535156,9849600,0.0
2000-03-16,23.442354202270508,22378000,0.0
2000-03-17,21.76679229736328,18887600,0.0
2000-03-20,21.704740524291992,8595200,0.0
2000-03-21,22.75971794128418,10534000,0.0
2000-03-22,25.319602966308594,16744800,0.0
2000-03-23,26.45864486694336,12223600,0.00625
2000-03-24,26.862119674682617,7835600,0.0
2000-03-27,28.212209701538086,6834400,0.0
2000-03-28,27.59147834777832,6964400,0.0
2000-03-29,27.653549194335938,5551200,0.0
2000-03-30,26.613826751708984,6503200,0.0
2000-03-31,27.638032913208008,7458000,0.0
2000-04-03,26.210359573364258,10012400,0.0
2000-04-04,25.263736724853516,20696400,0.0
2000-04-05,26.613826751708984,9953200,0.0
2000-04-06,28.46050262451172,10676000,0.0
2000-04-07,31.03653335571289,11309200,0.0
2000-04-10,29.096750259399414,6682800,0.0
2000-04-11,29.670928955078125,9586000,0.0
2000-04-12,27.82425308227539,10696800,0.0
2000-04-13,28.196691513061523,11635200,0.0
2000-04-14,24.28608512878418,14822800,0.0
2000-04-17,28.13461685180664,10586800,0.0
2000-04-18,29.050195693969727,8886000,0.0
2000-04-19,27.963912963867188,5971600,0.0
2000-04-20,27.963912963867188,6578800,0.0
2000-04-24,26.00861167907715,9034800,0.0
2000-04-25,29.795072555541992,14261600,0.0
2000-04-26,28.522567749023438,10008800,0.0
2000-04-27,30.648578643798828,11139200,0.0
2000-04-28,30.027843475341797,11328800,0.0
2000-05-01,32.448699951171875,8049200,0.0
2000-05-02,28.677757263183594,6946800,0.0
2000-05-03,27.99495506286621,12529600,0.0
2000-05-04,28.289798736572266,6709600,0.0
2000-05-05,29.71748161315918,6605600,0.0
2000-05-08,27.156965255737305,5495200,0.0
2000-05-09,27.88632583618164,9874800,0.0
2000-05-10,26.365535736083984,10190400,0.0
2000-05-11,26.908674240112305,10963200,0.0
2000-05-12,26.862119674682617,4381600,0.0
2000-05-15,27.312150955200195,5064800,0.0
2000-05-16,30.75720977783203,11287200,0.0
2000-05-17,29.872663497924805,6428400,0.0
2000-05-18,28.553611755371094,5727200,0.0
2000-05-19,27.203521728515625,8564000,0.0
2000-05-22,27.23455810546875,11500400,0.0
2000-05-23,27.0483341217041,10874800,0.0
2000-05-24,26.350017547607422,13330400,0.0
2000-05-25,25.946542739868164,5880400,0.0
2000-05-26,25.527549743652344,4354400,0.0
2000-05-30,28.94156837463379,6782800,0.0
2000-05-31,27.948396682739258,6144800,0.0
2000-06-01,29.422630310058594,6863200,0.0
2000-06-02,31.03653335571289,5660400,0.0
2000-06-05,31.952112197875977,10037200,0.0
2000-06-06,28.72431182861328,13826400,0.0
2000-06-07,28.38290786743164,11221600,0.0
2000-06-08,29.391599655151367,8131200,0.0
2000-06-09,29.96577262878418,4936000,0.0
2000-06-12,30.105440139770508,8233600,0.0
2000-06-13,31.57967758178711,8335200,0.0
2000-06-14,30.260616302490234,11954400,0.0
2000-06-15,30.974462509155273,9943600,0.0
2000-06-16,29.85714340209961,17876800,0.0
2000-06-19,31.626230239868164,9478400,0.0
2000-06-20,32.58835983276367,11540400,0.0
2000-06-21,31.983154296875,5958800,0.0
2000-06-22,30.05888557434082,4679600,0.0
2000-06-23,29.236413955688477,4730800,0.0
2000-06-26,30.958942413330078,4722400,0.0
2000-06-27,29.31400489807129,5097600,0.0
2000-06-28,30.989980697631836,5057200,0.0
2000-06-29,30.850313186645508,4454400,0.0
2000-06-30,32.284481048583984,5107200,0.00625
2000-07-03,31.756763458251953,1652800,0.0
2000-07-05,31.710195541381836,5099200,0.0
2000-07-06,33.51066970825195,10177600,0.0
2000-07-07,34.11601257324219,7556400,0.0
2000-07-10,33.61933898925781,5060400,0.0
2000-07-11,34.333316802978516,5798000,0.0
2000-07-12,34.89208221435547,3848800,0.0
2000-07-13,34.24018478393555,4286800,0.0
2000-07-14,33.82111358642578,5538400,0.0
2000-07-17,33.54172897338867,3456400,0.0
2000-07-18,32.51731872558594,3682400,0.0
2000-07-19,32.26897430419922,4300800,0.0
2000-07-20,34.08496856689453,5474000,0.0
2000-07-21,33.44859313964844,7378400,0.0
2000-07-24,31.0893497467041,6861200,0.0
2000-07-25,31.508420944213867,6166800,0.0
2000-07-26,30.77891731262207,5663600,0.0
2000-07-27,28.18684959411621,12136400,0.0
2000-07-28,27.659114837646484,6603600,0.0
2000-07-31,28.435182571411133,11458000,0.0
2000-08-01,28.419662475585938,5923200,0.0
2000-08-02,28.88530158996582,5342000,0.0
2000-08-03,28.24892807006836,7311600,0.0
2000-08-04,28.993955612182617,3659600,0.0
2000-08-07,30.313274383544922,4090000,0.0
2000-08-08,30.158056259155273,3934800,0.0
2000-08-09,28.88530158996582,3711200,0.0
2000-08-10,28.016111373901367,4460000,0.0
2000-08-11,28.699054718017578,3412800,0.0
2000-08-14,30.204622268676758,4078800,0.0
2000-08-15,29.832111358642578,3042000,0.0
2000-08-16,28.792179107666016,3816400,0.0
2000-08-17,31.011737823486328,6036400,0.0
2000-08-18,30.43744659423828,4222800,0.0
2000-08-21,29.770023345947266,2968800,0.0
2000-08-22,30.359838485717773,2986400,0.0
2000-08-23,31.30664825439453,3900400,0.0
2000-08-24,32.16032409667969,5270400,0.0
2000-08-25,32.00511169433594,2720400,0.0
2000-08-28,32.37761688232422,4372400,0.0
2000-08-29,32.688053131103516,2580800,0.0
2000-08-30,32.17584228515625,2578000,0.0
2000-08-31,32.284481048583984,3675600,0.0
2000-09-01,33.60381317138672,4194800,0.0
2000-09-05,33.091609954833984,2023600,0.0
2000-09-06,31.663637161254883,3550400,0.0
2000-09-07,34.00736999511719,5596400,0.0
2000-09-08,33.246822357177734,4988000,0.0
2000-09-11,31.60154914855957,6669200,0.0
2000-09-12,30.499530792236328,6545600,0.0
2000-09-13,31.27560043334961,8358000,0.0
2000-09-14,31.135910034179688,6306000,0.0
2000-09-15,32.9363899230957,20242400,0.0
2000-09-18,35.26459884643555,15124400,0.0
2000-09-19,37.96532440185547,19066800,0.0
2000-09-20,39.17598342895508,11589200,0.0
2000-09-21,38.989723205566406,9903600,0.0
2000-09-22,37.14268112182617,11998800,0.0
2000-09-25,36.661521911621094,9363600,0.0
2000-09-26,37.57728576660156,7230800,0.0
2000-09-27,36.8477783203125,7342000,0.0
2000-09-28,39.86565399169922,12957600,0.00625
2000-09-29,38.56163787841797,15857600,0.0
2000-10-02,40.48659896850586,14673600,0.0
2000-10-03,40.59526824951172,12944400,0.0
2000-10-04,39.244693756103516,16005600,0.0
2000-10-05,36.885040283203125,10928000,0.0
2000-10-06,36.667694091796875,12732800,0.0
2000-10-09,37.17999267578125,6672800,0.0
2000-10-10,35.68968963623047,9878400,0.0
2000-10-11,37.428375244140625,14562000,0.0
2000-10-12,32.491737365722656,14028800,0.0
2000-10-13,36.04673767089844,10051600,0.0
2000-10-16,35.223960876464844,6971600,0.0
2000-10-17,33.019561767578125,16645600,0.0
2000-10-18,32.057064056396484,9762000,0.0
2000-10-19,34.16834259033203,7580800,0.0
2000-10-20,34.789302825927734,6848000,0.0
2000-10-23,34.91349411010742,6264400,0.0
2000-10-24,33.57842254638672,7648400,0.0
2000-10-25,33.5318489074707,6066000,0.0
2000-10-26,35.984649658203125,8159800,0.0
2000-10-27,37.16447448730469,8126600,0.0
2000-10-30,34.587486267089844,6468200,0.0
2000-10-31,37.78543472290039,8094400,0.0
2000-11-01,38.375343322753906,7106400,0.0
2000-11-02,40.14508056640625,7077200,0.0
2000-11-03,40.08298110961914,5569200,0.0
2000-11-06,41.35595703125,10552400,0.0
2000-11-07,40.85918045043945,7816000,0.0
2000-11-08,39.86565399169922,7387400,0.0
2000-11-09,41.32490921020508,7166600,0.0
2000-11-10,38.46849060058594,7806200,0.0
2000-11-13,35.79835891723633,6598800,0.0
2000-11-14,40.548702239990234,6372200,0.0
2000-11-15,40.33137130737305,4448800,0.0
2000-11-16,40.48659896850586,5068000,0.0
2000-11-17,41.107566833496094,7961200,0.0
2000-11-20,37.75437927246094,6724600,0.0
2000-11-21,39.741458892822266,8485600,0.0
2000-11-22,35.922542572021484,7444200,0.0
2000-11-24,37.692291259765625,2708600,0.0
2000-11-27,34.183860778808594,11166800,0.0
2000-11-28,32.18126678466797,12416400,0.0
2000-11-29,31.948410034179688,9139800,0.0
2000-11-30,31.482685089111328,9835000,0.0
2000-12-01,33.4387092590332,7363000,0.0
2000-12-04,33.8112907409668,6879200,0.0
2000-12-05,38.09590530395508,9599600,0.0
2000-12-06,33.37661361694336,16013400,0.0
2000-12-07,31.296396255493164,11310000,0.0
2000-12-08,33.96653366088867,9743800,0.0
2000-12-11,36.82293701171875,6810200,0.0
2000-12-12,35.115299224853516,3928000,0.0
2000-12-13,32.87985610961914,5060400,0.0
2000-12-14,28.471033096313477,23094400,0.0
2000-12-15,31.016963958740234,21335000,0.0
