Date,Close,Volume,Dividends
2000-02-23,2.0203664302825928,2908800,0.0
2000-02-24,2.0604259967803955,2489600,0.0
2000-02-25,2.0604259967803955,3660800,0.0
2000-02-28,2.090034008026123,3929600,0.0
2000-02-29,2.2276291847229004,4016000,0.0
2000-03-01,2.382638692855835,4195200,0.0
2000-03-02,2.292072057723999,3702400,0.0
2000-03-03,2.286846160888672,1468800,0.0
2000-03-06,2.2990376949310303,3625600,0.0
2000-03-07,2.1893110275268555,1539200,0.0
2000-03-08,2.1213836669921875,2928000,0.0
2000-03-09,2.1422858238220215,1244800,0.0
2000-03-10,2.4000561237335205,12816000,0.0
2000-03-13,2.3199384212493896,3014400,0.0
2000-03-14,2.250269889831543,2569600,0.0
2000-03-15,2.4000561237335205,12323200,0.0
2000-03-16,2.462756872177124,3283200,0.0
2000-03-17,2.645634889602661,6848000,0.0
2000-03-20,2.593384265899658,4560000,0.0
2000-03-21,2.5846762657165527,3971200,0.0
2000-03-22,2.6142852306365967,1465600,0.0
2000-03-23,2.7344613075256348,2624000,0.0
2000-03-24,2.6891767978668213,6700800,0.0
2000-03-27,2.8790223598480225,4716800,0.0
2000-03-28,2.783228874206543,2576000,0.0
2000-03-29,2.685694456100464,3193600,0.0
2000-03-30,2.685694456100464,4361600,0.0
2000-03-31,2.849414825439453,4569600,0.0
2000-04-03,2.8058695793151855,4224000,0.0
2000-04-04,2.814579963684082,6582400,0.0
2000-04-05,2.898181915283203,3174400,0.0
2000-04-06,3.079317569732666,5251200,0.0
2000-04-07,3.305737018585205,6723200,0.0
2000-04-10,3.270904541015625,5603200,0.0
2000-04-11,3.2674202919006348,3990400,0.0
2000-04-12,3.2116870880126953,7296000,0.0
2000-04-13,3.1594364643096924,7564800,0.0
2000-04-14,2.5811917781829834,5744000,0.0
2000-04-17,2.7031116485595703,8134400,0.0
2000-04-18,3.1280856132507324,7123200,0.0
2000-04-19,3.2134296894073486,3523200,0.0
2000-04-20,3.1489853858947754,2512000,0.0
2000-04-24,3.0688672065734863,2736000,0.0
2000-04-25,3.344054937362671,7030400,0.0
2000-04-26,3.243037462234497,4273600,0.0
2000-04-27,3.344054937362671,5209600,0.0
2000-04-28,3.55305814743042,3748800,0.0
2000-05-01,3.333604335784912,6798400,0.0
2000-05-02,3.288321018218994,3171200,0.0
2000-05-03,2.8772811889648438,4315200,0.0
2000-05-04,3.0514495372772217,2840000,0.0
2000-05-05,3.284837245941162,3550400,0.0
2000-05-08,3.3301215171813965,3292800,0.0
2000-05-09,2.9957168102264404,4084800,0.0
2000-05-10,2.654344320297241,4390400,0.0
2000-05-11,2.8180625438690186,3449600,0.0
2000-05-12,2.8807637691497803,5636800,0.0
2000-05-15,2.7971627712249756,4038400,0.0
