Date,Close,Volume,Dividends
2000-02-23,13.508103370666504,79700,0.0
2000-02-24,13.483278274536133,44900,0.0
2000-02-25,13.508103370666504,35700,0.0
2000-02-28,13.40877628326416,61300,0.0
2000-02-29,13.40877628326416,289100,0.0
2000-03-01,13.607419967651367,280300,0.0
2000-03-02,13.483278274536133,84200,0.0
2000-03-03,13.607419967651367,104800,0.0
2000-03-06,13.55776596069336,118700,0.0
2000-03-07,13.706751823425293,74300,0.0
2000-03-08,13.55776596069336,51300,0.0
2000-03-09,13.508103370666504,70500,0.0
2000-03-10,13.68191909790039,48000,0.0
2000-03-13,13.607419967651367,180600,0.0
2000-03-14,13.508103370666504,88000,0.0
2000-03-15,13.632256507873535,147600,0.0
2000-03-16,13.78123950958252,432600,0.0
2000-03-17,13.830904006958008,279800,0.0
2000-03-20,14.029552459716797,148700,0.0
2000-03-21,13.979891777038574,77800,0.0
2000-03-22,14.004724502563477,240400,0.0
2000-03-23,14.302698135375977,88900,0.0
2000-03-24,14.203370094299316,113200,0.0
2000-03-27,14.203370094299316,126200,0.0
2000-03-28,14.327524185180664,185600,0.0
2000-03-29,14.501347541809082,186500,0.0
2000-03-30,14.676857948303223,219200,0.56
2000-03-31,14.777737617492676,236800,0.0
2000-04-03,14.676857948303223,5891200,0.0
2000-04-04,14.727300643920898,378600,0.0
2000-04-05,14.853388786315918,148800,0.0
2000-04-06,14.92904281616211,191100,0.0
2000-04-07,15.105566024780273,94000,0.0
2000-04-10,15.130784034729004,209700,0.0
2000-04-11,15.256872177124023,273800,0.0
2000-04-12,15.181225776672363,137900,0.0
2000-04-13,15.282089233398438,87800,0.0
2000-04-14,15.282089233398438,281000,0.0
2000-04-17,14.853388786315918,295100,0.0
2000-04-18,15.282089233398438,152600,0.0
2000-04-19,15.33253288269043,106800,0.0
2000-04-20,15.256872177124023,217500,0.0
2000-04-24,15.3073091506958,97600,0.0
2000-04-25,15.357745170593262,171500,0.0
2000-04-26,15.433399200439453,166000,0.0
2000-04-27,15.660362243652344,286600,0.0
2000-04-28,15.786457061767578,147300,0.0
2000-05-01,15.912543296813965,262200,0.0
2000-05-02,16.06385040283203,236400,0.0
2000-05-03,16.139497756958008,246300,0.0
2000-05-04,16.16472053527832,202500,0.0
2000-05-05,16.189937591552734,103600,0.0
2000-05-08,16.26559829711914,55400,0.0
2000-05-09,16.366466522216797,109100,0.0
2000-05-10,16.240379333496094,214300,0.0
2000-05-11,16.21516227722168,84200,0.0
2000-05-12,16.416894912719727,71200,0.0
2000-05-15,16.49256134033203,73900,0.0
2000-05-16,16.467336654663086,269000,0.0
2000-05-17,16.341243743896484,64700,0.0
2000-05-18,16.366466522216797,146900,0.0
2000-05-19,16.290809631347656,174400,0.0
2000-05-22,16.240379333496094,136500,0.0
2000-05-23,16.21516227722168,203300,0.0
2000-05-24,16.240379333496094,325500,0.0
2000-05-25,16.114274978637695,130700,0.0
2000-05-26,16.114274978637695,76900,0.0
2000-05-30,16.06385040283203,146600,0.0
2000-05-31,16.038639068603516,79500,0.0
2000-06-01,16.01341438293457,53900,0.0
2000-06-02,16.089067459106445,130900,0.0
2000-06-05,16.114274978637695,91100,0.0
2000-06-06,16.139497756958008,124500,0.0
2000-06-07,16.31602668762207,143800,0.0
2000-06-08,16.467336654663086,211800,0.0
2000-06-09,16.51777458190918,127900,0.0
2000-06-12,16.681690216064453,99900,0.0
2000-06-13,16.744731903076172,119300,0.0
2000-06-14,17.097787857055664,199500,0.0
2000-06-15,17.034746170043945,206900,0.0
2000-06-16,16.782562255859375,68700,0.0
2000-06-19,16.832996368408203,96000,0.0
