Date,Close,Volume,Dividends
2007-03-22,14.546443939208984,2908400,0.0
2007-03-23,14.71289348602295,3550900,0.0
2007-03-26,14.958952903747559,859900,0.0
2007-03-27,14.727368354797363,470400,0.0
2007-03-28,14.401697158813477,324100,0.0
2007-03-29,14.256966590881348,1799300,0.0
2007-03-30,14.256966590881348,12230800,0.0
2007-04-02,14.119460105895996,9470300,0.0
2007-04-03,13.801029205322266,7892900,0.0
2007-04-04,13.685237884521484,4738000,0.0
2007-04-05,14.025372505187988,4602900,0.0
2007-04-09,13.793790817260742,3600900,0.0
2007-04-10,13.909587860107422,3130800,0.0
2007-04-11,13.82997989654541,3356100,0.0
2007-04-12,13.89511489868164,2666300,0.0
2007-04-13,14.170109748840332,2980900,0.0
2007-04-16,14.372747421264648,1455800,0.0
2007-04-17,14.778026580810547,1567200,0.0
2007-04-18,14.966192245483398,1958200,0.0
2007-04-19,15.299089431762695,1890100,0.0
2007-04-20,15.255668640136719,2671300,0.0
2007-04-23,14.980661392211914,1531800,0.0
2007-04-24,14.915529251098633,1752700,0.0
2007-04-25,14.662237167358398,1029600,0.0
2007-04-26,14.517492294311523,1193200,0.0
2007-04-27,14.633288383483887,734500,0.0
2007-04-30,14.503021240234375,1581800,0.0
2007-05-01,14.503021240234375,1468800,0.0
2007-05-02,14.488548278808594,1460100,0.0
2007-05-03,14.69117546081543,1243100,0.0
2007-05-04,15.038561820983887,1242300,0.0
2007-05-07,15.205013275146484,1482300,0.0
2007-05-08,15.393172264099121,1294300,0.0
2007-05-09,15.487258911132812,2454100,0.0
2007-05-10,15.28462028503418,1278800,0.0
2007-05-11,15.508975982666016,468300,0.0
2007-05-14,15.422121047973633,661100,0.0
2007-05-15,15.081979751586914,1811800,0.0
2007-05-16,14.835922241210938,1595900,0.0
2007-05-17,14.944478034973145,893700,0.0
2007-05-18,14.806975364685059,1201800,0.0
2007-05-21,14.835922241210938,3019200,0.0
2007-05-22,14.756315231323242,1490500,0.0
2007-05-23,14.727368354797363,1014700,0.0
2007-05-24,14.488548278808594,1404600,0.0
2007-05-25,14.474075317382812,624200,0.0
2007-05-29,14.474075317382812,639000,0.0
2007-05-30,14.452362060546875,1165000,0.0
2007-05-31,14.647762298583984,953500,0.0
2007-06-01,14.42341136932373,886100,0.0
2007-06-04,14.36551284790039,967300,0.0
2007-06-05,14.42341136932373,847000,0.0
2007-06-06,14.076033592224121,1072800,0.0
2007-06-07,13.728658676147461,1127400,0.0
2007-06-08,13.8516845703125,627600,0.0
2007-06-11,13.945771217346191,2175300,0.0
2007-06-12,13.9891939163208,994400,0.0
2007-06-13,14.047273635864258,829700,0.06
2007-06-14,13.99644947052002,629800,0.0
2007-06-15,14.148906707763672,732300,0.0
2007-06-18,14.10534954071045,810700,0.0
2007-06-19,13.85851764678955,1422600,0.0
2007-06-20,13.873041152954102,1922200,0.0
2007-06-21,14.112602233886719,1592800,0.0
2007-06-22,14.446542739868164,1826000,0.0
2007-06-25,14.606253623962402,2052100,0.0
2007-06-26,14.446542739868164,1435300,0.0
2007-06-27,14.373946189880371,1720900,0.0
2007-06-28,14.090826034545898,1430600,0.0
2007-06-29,13.880295753479004,1323100,0.0
2007-07-02,14.04000473022461,848600,0.0
2007-07-03,14.31586742401123,322700,0.0
2007-07-05,14.228755950927734,669000,0.0
2007-07-06,14.34490966796875,492000,0.0
2007-07-09,14.76596736907959,1492100,0.0
2007-07-10,14.373946189880371,925900,0.0
2007-07-11,14.214231491088867,606100,0.0
2007-07-12,14.533665657043457,1520600,0.0
2007-07-13,14.439281463623047,475600,0.0
2007-07-16,14.657073020935059,566900,0.0
2007-07-17,14.620771408081055,873900,0.0
2007-07-18,14.548176765441895,1002700,0.0
2007-07-19,14.7151460647583,828100,0.0
2007-07-20,14.555437088012695,525000,0.0
2007-07-23,14.526395797729492,317800,0.0
2007-07-24,14.01822566986084,1680000,0.0
2007-07-25,13.894811630249023,1083600,0.0
2007-07-26,13.510066032409668,2240500,0.0
2007-07-27,13.04544734954834,920800,0.0
2007-07-30,12.97285270690918,1338300,0.0
2007-07-31,12.76958179473877,1855100,0.0
2007-08-01,12.384824752807617,2217500,0.0
2007-08-02,12.471941947937012,2218700,0.0
2007-08-03,12.377567291259766,1868000,0.0
2007-08-06,12.755064964294434,2274600,0.0
2007-08-07,12.740540504455566,1512100,0.0
2007-08-08,13.19790267944336,1097000,0.0
2007-08-09,13.059967994689941,1585400,0.0
2007-08-10,13.30678939819336,1597400,0.0
2007-08-13,12.914772987365723,945000,0.0
2007-08-14,13.14708137512207,714500,0.0
2007-08-15,12.784101486206055,979500,0.0
2007-08-16,12.667947769165039,2624500,0.0
2007-08-17,12.704244613647461,504900,0.0
2007-08-20,12.580832481384277,527500,0.0
2007-08-21,12.95107364654541,700600,0.0
2007-08-22,12.28319263458252,2301800,0.0
2007-08-23,11.825836181640625,2232600,0.0
2007-08-24,12.994629859924316,1597000,0.0
2007-08-27,12.907510757446289,608600,0.0
2007-08-28,12.77684211730957,851100,0.0
2007-08-29,12.97285270690918,815900,0.0
2007-08-30,13.161599159240723,819800,0.0
2007-08-31,13.190630912780762,615700,0.0
2007-09-04,13.43746280670166,1005800,0.0
2007-09-05,12.638915061950684,1004400,0.0
2007-09-06,12.435646057128906,598700,0.0
2007-09-07,12.130741119384766,762900,0.0
2007-09-10,12.675209045410156,816400,0.0
2007-09-11,12.508237838745117,1191000,0.0
2007-09-12,13.03275203704834,489000,0.06
2007-09-13,13.579123497009277,604400,0.0
2007-09-14,13.586406707763672,616600,0.0
2007-09-17,13.171173095703125,653300,0.0
2007-09-18,13.724822044372559,786400,0.0
2007-09-19,13.804956436157227,495600,0.0
2007-09-20,13.950654983520508,434200,0.0
2007-09-21,13.92879867553711,861200,0.0
2007-09-24,13.375147819519043,656800,0.0
2007-09-25,13.50627326965332,848200,0.0
2007-09-26,13.753962516784668,400900,0.0
2007-09-27,13.84138298034668,834300,0.0
2007-09-28,13.804956436157227,580500,0.0
2007-10-01,13.84138298034668,543100,0.0
2007-10-02,13.78310489654541,440900,0.0
2007-10-03,14.074502944946289,339300,0.0
2007-10-04,14.329472541809082,294200,0.0
2007-10-05,14.183773040771484,468700,0.0
2007-10-08,14.154638290405273,271700,0.0
2007-10-09,14.249340057373047,341900,0.0
2007-10-10,14.256621360778809,435900,0.0
2007-10-11,14.198344230651855,665500,0.0
2007-10-12,14.263904571533203,322300,0.0
2007-10-15,14.416897773742676,366800,0.0
2007-10-16,14.045361518859863,220500,0.0
2007-10-17,14.096359252929688,253500,0.0
2007-10-18,14.409607887268066,445000,0.0
2007-10-19,14.285758018493652,342400,0.0
2007-10-22,14.380462646484375,478800,0.0
2007-10-23,14.183773040771484,443100,0.0
2007-10-24,14.17648983001709,450800,0.0
2007-10-25,13.994362831115723,373400,0.0
2007-10-26,14.17648983001709,323500,0.0
2007-10-29,14.256621360778809,315900,0.0
2007-10-30,14.395037651062012,537400,0.0
2007-10-31,14.569873809814453,271500,0.0
2007-11-01,14.205619812011719,607900,0.0
2007-11-02,13.78310489654541,639400,0.0
2007-11-05,13.447989463806152,703200,0.0
2007-11-06,13.280442237854004,799000,0.0
2007-11-07,15.065251350402832,6138200,0.0
2007-11-08,16.026865005493164,2291100,0.0
2007-11-09,16.136138916015625,972500,0.0
2007-11-12,15.371216773986816,1641300,0.0
2007-11-13,15.771889686584473,826000,0.0
2007-11-14,15.604334831237793,471000,0.0
2007-11-15,16.15799331665039,942100,0.0
2007-11-16,15.961294174194336,1607300,0.0
2007-11-19,15.99771785736084,1469900,0.0
2007-11-20,16.15799331665039,870800,0.0
2007-11-21,15.618900299072266,422200,0.0
2007-11-23,15.400364875793457,282200,0.0
2007-11-26,15.18181037902832,972200,0.0
2007-11-27,15.444064140319824,1097600,0.0
2007-11-28,16.077856063842773,885600,0.0
2007-11-29,16.33283042907715,1434600,0.0
2007-11-30,16.58780288696289,1791300,0.0
2007-12-03,16.303691864013672,1222200,0.0
2007-12-04,16.704362869262695,1412900,0.0
2007-12-05,16.769926071166992,1392200,0.0
2007-12-06,17.105031967163086,911500,0.0
2007-12-07,17.265302658081055,1843300,0.0
2007-12-10,17.440141677856445,1161900,0.0
2007-12-11,16.930192947387695,704700,0.0
2007-12-12,17.454710006713867,954700,0.0
2007-12-13,17.491230010986328,618900,0.06
2007-12-14,17.32324981689453,801000,0.0
2007-12-17,16.746299743652344,718500,0.0
2007-12-18,16.746299743652344,692900,0.0
2007-12-19,16.48338508605957,467000,0.0
2007-12-20,16.58562469482422,605500,0.0
2007-12-21,16.71708869934082,1116700,0.0
2007-12-24,16.71708869934082,277200,0.0
2007-12-26,16.731685638427734,354000,0.0
2007-12-27,16.5637149810791,372500,0.0
2007-12-28,16.410341262817383,300100,0.0
2007-12-31,16.381135940551758,427100,0.0
2008-01-02,16.249677658081055,894500,0.0
2008-01-03,16.534503936767578,485300,0.0
2008-01-04,16.607540130615234,654200,0.0
2008-01-07,16.66596031188965,843900,0.0
2008-01-08,16.870450973510742,1343700,0.0
2008-01-09,16.83393096923828,1611300,0.0
2008-01-10,17.045726776123047,891500,0.0
2008-01-11,17.177183151245117,837700,0.0
2008-01-14,17.023828506469727,604600,0.0
2008-01-15,16.702476501464844,819300,0.0
2008-01-16,16.54910659790039,876700,0.0
2008-01-17,16.256977081298828,752800,0.0
2008-01-18,16.322708129882812,1284000,0.0
2008-01-22,15.906423568725586,1480800,0.0
2008-01-23,15.76036262512207,1065900,0.0
2008-01-24,16.351919174194336,1084900,0.0
2008-01-25,16.381135940551758,639800,0.0
2008-01-28,16.045190811157227,1002400,0.0
2008-01-29,15.921029090881348,1458100,0.0
2008-01-30,15.43171501159668,872500,0.0
2008-01-31,15.81879711151123,947500,0.0
2008-02-01,16.446866989135742,708400,0.0
2008-02-04,15.97215461730957,648800,0.0
2008-02-05,16.03788185119629,766500,0.0
2008-02-06,16.79741859436035,1304200,0.0
2008-02-07,15.709237098693848,1419200,0.0
2008-02-08,15.796879768371582,673500,0.0
2008-02-11,15.73845100402832,504400,0.0
2008-02-12,15.497444152832031,567000,0.0
2008-02-13,15.482840538024902,936600,0.0
2008-02-14,14.7379150390625,1565200,0.0
2008-02-15,14.642962455749512,619300,0.0
2008-02-19,14.087921142578125,1304700,0.0
2008-02-20,14.212076187133789,1359600,0.0
2008-02-21,13.890738487243652,813600,0.0
2008-02-22,14.314322471618652,892900,0.0
2008-02-25,13.854218482971191,982700,0.0
