Date,Close,Volume,Dividends
2000-06-23,22.0,7986500,0.0
2000-06-26,21.875,1005000,0.0
2000-06-27,21.5625,421000,0.0
2000-06-28,21.5625,567500,0.0
2000-06-29,21.1875,140300,0.0
2000-06-30,22.1875,528300,0.0
2000-07-03,22.1875,81800,0.0
2000-07-05,22.4375,198800,0.0
2000-07-06,23.75,155000,0.0
2000-07-07,23.625,302900,0.0
2000-07-10,24.75,65200,0.0
2000-07-11,25.25,325000,0.0
2000-07-12,24.875,244500,0.0
2000-07-13,26.25,199100,0.0
2000-07-14,24.25,93900,0.0
2000-07-17,23.6875,499600,0.0
2000-07-18,24.75,299500,0.0
2000-07-19,24.875,202700,0.0
2000-07-20,24.5625,25900,0.0
2000-07-21,24.1875,69400,0.0
2000-07-24,25.5,366400,0.0
2000-07-25,24.8125,82200,0.0
2000-07-26,27.25,196700,0.0
2000-07-27,28.25,212200,0.0
2000-07-28,27.5625,109000,0.0
2000-07-31,30.1875,437600,0.0
2000-08-01,28.5,170000,0.0
2000-08-02,28.1875,54500,0.0
2000-08-03,30.375,351900,0.0
2000-08-04,29.875,91700,0.0
2000-08-07,33.0,422500,0.0
2000-08-08,33.0625,138100,0.0
2000-08-09,31.6875,126100,0.0
2000-08-10,30.625,117500,0.0
2000-08-11,29.375,54500,0.0
2000-08-14,27.9375,72300,0.0
2000-08-15,26.375,396200,0.0
2000-08-16,25.8125,160700,0.0
2000-08-17,25.8125,92200,0.0
2000-08-18,26.25,214500,0.0
2000-08-21,25.5,183200,0.0
2000-08-22,26.375,56000,0.0
2000-08-23,27.9375,149200,0.0
2000-08-24,28.0,101800,0.0
2000-08-25,27.5625,35000,0.0
2000-08-28,27.9375,47600,0.0
2000-08-29,27.875,92100,0.0
2000-08-30,27.5,72500,0.0
2000-08-31,27.4375,18200,0.0
2000-09-01,27.6875,40800,0.0
2000-09-05,27.4375,57400,0.0
2000-09-06,27.5,58300,0.0
2000-09-07,27.25,62200,0.0
2000-09-08,26.625,124500,0.0
2000-09-11,26.8125,48000,0.0
2000-09-12,26.4375,43900,0.0
2000-09-13,26.0,190600,0.0
2000-09-14,25.8125,25200,0.0
2000-09-15,24.875,72200,0.0
2000-09-18,23.0,128000,0.0
2000-09-19,21.5,96800,0.0
2000-09-20,22.0625,94700,0.0
2000-09-21,22.5,75000,0.0
2000-09-22,23.0,179400,0.0
2000-09-25,26.75,247300,0.0
2000-09-26,28.5625,122900,0.0
2000-09-27,29.5625,387300,0.0
2000-09-28,31.75,140800,0.0
2000-09-29,34.0,148000,0.0
2000-10-02,31.5625,108100,0.0
2000-10-03,31.125,54500,0.0
2000-10-04,29.0,17600,0.0
2000-10-05,27.875,93500,0.0
2000-10-06,26.8125,71000,0.0
2000-10-09,26.125,46600,0.0
2000-10-10,25.0,110300,0.0
2000-10-11,24.4375,65200,0.0
2000-10-12,24.0,32200,0.0
2000-10-13,24.125,91900,0.0
2000-10-16,25.9375,83200,0.0
2000-10-17,25.375,176700,0.0
2000-10-18,27.125,107300,0.0
2000-10-19,26.1875,55800,0.0
2000-10-20,27.25,29500,0.0
2000-10-23,27.3125,82700,0.0
2000-10-24,26.5625,103300,0.0
2000-10-25,26.5,31500,0.0
2000-10-26,26.0,12600,0.0
2000-10-27,25.5,10200,0.0
2000-10-30,25.25,17200,0.0
2000-10-31,26.25,80700,0.0
2000-11-01,25.5,67300,0.0
2000-11-02,24.5,129500,0.0
2000-11-03,24.375,326700,0.0
2000-11-06,23.75,241300,0.0
2000-11-07,23.375,102100,0.0
2000-11-08,23.625,85000,0.0
2000-11-09,23.1875,47400,0.0
2000-11-10,22.75,54000,0.0
2000-11-13,22.0,142600,0.0
2000-11-14,24.0,351400,0.0
2000-11-15,24.0,90300,0.0
2000-11-16,24.4375,38800,0.0
2000-11-17,24.5625,65600,0.0
2000-11-20,24.25,113500,0.0
2000-11-21,24.3125,70900,0.0
2000-11-22,24.25,34300,0.0
2000-11-24,24.125,1000,0.0
2000-11-27,23.75,111300,0.0
2000-11-28,23.4375,188700,0.0
2000-11-29,23.375,60700,0.0
2000-11-30,21.375,171300,0.0
2000-12-01,23.5,54800,0.0
2000-12-04,23.3125,30900,0.0
2000-12-05,23.125,127900,0.0
2000-12-06,23.0,93000,0.0
2000-12-07,22.25,11100,0.0
2000-12-08,21.5,107200,0.0
2000-12-11,20.5,808600,0.0
2000-12-12,22.1875,501500,0.0
2000-12-13,22.125,135100,0.0
2000-12-14,22.5,140600,0.0
2000-12-15,22.4375,230200,0.0
2000-12-18,23.0,176600,0.0
2000-12-19,23.25,73900,0.0
2000-12-20,24.125,266300,0.0
2000-12-21,24.0625,226000,0.0
2000-12-22,26.3125,169600,0.0
2000-12-26,26.25,90000,0.0
2000-12-27,27.1875,109500,0.0
2000-12-28,27.125,106300,0.0
2000-12-29,27.375,61900,0.0
2001-01-02,26.125,94200,0.0
2001-01-03,24.0,66300,0.0
2001-01-04,25.1875,142100,0.0
2001-01-05,24.5,87000,0.0
2001-01-08,23.125,18100,0.0
2001-01-09,24.0625,204400,0.0
2001-01-10,24.0,174800,0.0
2001-01-11,24.5,28600,0.0
2001-01-12,23.9375,57700,0.0
2001-01-16,24.375,74100,0.0
2001-01-17,22.375,36700,0.0
2001-01-18,22.125,290700,0.0
2001-01-19,23.875,83900,0.0
2001-01-22,25.0,177300,0.0
2001-01-23,24.5,89000,0.0
2001-01-24,24.5625,38100,0.0
2001-01-25,24.0,71700,0.0
2001-01-26,25.0625,67700,0.0
2001-01-29,25.850000381469727,59700,0.0
2001-01-30,28.100000381469727,196300,0.0
2001-01-31,28.200000762939453,109600,0.0
2001-02-01,25.799999237060547,117700,0.0
2001-02-02,25.75,39300,0.0
2001-02-05,25.75,12300,0.0
2001-02-06,25.950000762939453,71600,0.0
2001-02-07,25.75,93600,0.0
2001-02-08,25.75,7100,0.0
2001-02-09,25.299999237060547,34500,0.0
2001-02-12,24.950000762939453,48600,0.0
2001-02-13,25.100000381469727,28400,0.0
2001-02-14,24.850000381469727,508200,0.0
2001-02-15,24.5,363500,0.0
2001-02-16,24.5,62800,0.0
2001-02-20,25.0,16300,0.0
2001-02-21,24.700000762939453,28300,0.0
2001-02-22,23.90999984741211,14600,0.0
2001-02-23,23.209999084472656,15000,0.0
2001-02-26,24.200000762939453,59200,0.0
2001-02-27,24.850000381469727,36700,0.0
2001-02-28,24.200000762939453,44400,0.0
2001-03-01,23.809999465942383,41200,0.0
2001-03-02,23.75,64900,0.0
2001-03-05,23.200000762939453,16600,0.0
2001-03-06,22.950000762939453,28100,0.0
2001-03-07,21.799999237060547,78800,0.0
2001-03-08,21.799999237060547,50100,0.0
2001-03-09,20.799999237060547,143400,0.0
2001-03-12,18.0,156400,0.0
2001-03-13,19.100000381469727,239400,0.0
2001-03-14,19.350000381469727,144500,0.0
2001-03-15,19.350000381469727,167600,0.0
2001-03-16,20.0,2767400,0.0
2001-03-19,20.989999771118164,268300,0.0
2001-03-20,20.309999465942383,191400,0.0
2001-03-21,19.649999618530273,316700,0.0
2001-03-22,18.579999923706055,405100,0.0
2001-03-23,20.350000381469727,85000,0.0
2001-03-26,21.0,61900,0.0
2001-03-27,22.440000534057617,123800,0.0
2001-03-28,22.5,196900,0.0
2001-03-29,23.850000381469727,90600,0.0
2001-03-30,24.75,97000,0.0
2001-04-02,23.760000228881836,103300,0.0
2001-04-03,23.600000381469727,36800,0.0
2001-04-04,23.899999618530273,67400,0.0
