Date,Close,Volume,Dividends
2000-02-23,12.129003524780273,1308400,0.0
2000-02-24,11.656445503234863,1469200,0.0
2000-02-25,11.63675308227539,2246400,0.0
2000-02-28,11.63675308227539,1822600,0.0
2000-02-29,11.262645721435547,4101400,0.0
2000-03-01,11.656445503234863,3712600,0.0
2000-03-02,10.888534545898438,3581200,0.0
2000-03-03,10.986984252929688,4530800,0.0
2000-03-06,10.770394325256348,2483400,0.0
2000-03-07,9.56930923461914,6393000,0.0
2000-03-08,11.105127334594727,5782200,0.0
2000-03-09,11.24295425415039,3835400,0.0
2000-03-10,11.183882713317871,1321000,0.0
2000-03-13,11.124814987182617,1525800,0.0
2000-03-14,10.888534545898438,2147400,0.0
2000-03-15,11.81396198272705,4763400,0.0
2000-03-16,12.444043159484863,3794800,0.0
2000-03-17,12.030550956726074,2753600,0.0
2000-03-20,12.069933891296387,1378800,0.0
2000-03-21,12.148689270019531,1823200,0.0
2000-03-22,12.030550956726074,1387400,0.0
2000-03-23,12.22745418548584,1578800,0.0
2000-03-24,12.089619636535645,1828200,0.0
2000-03-27,11.853337287902832,1169400,0.0
2000-03-28,11.6170654296875,1722400,0.0
2000-03-29,11.80563735961914,1565600,0.11
2000-03-30,12.380072593688965,2151400,0.0
2000-03-31,12.04333209991455,2154400,0.0
2000-04-03,12.320649147033691,3520000,0.0
2000-04-04,12.736621856689453,4191800,0.0
2000-04-05,12.776237487792969,4099400,0.0
2000-04-06,12.67719554901123,2217000,0.0
2000-04-07,12.360260009765625,1130600,0.0
2000-04-10,12.439496994018555,1557400,0.0
2000-04-11,12.776237487792969,1764200,0.0
2000-04-12,13.44970989227295,2337400,0.0
2000-04-13,13.152588844299316,3147800,0.0
2000-04-14,12.756427764892578,2050600,0.0
2000-04-17,12.439496994018555,1692800,0.0
2000-04-18,12.637577056884766,1618800,0.0
2000-04-19,12.221603393554688,1148200,0.0
2000-04-20,12.320649147033691,1155000,0.0
2000-04-24,12.300840377807617,1533800,0.0
2000-04-25,12.974316596984863,1887000,0.0
2000-04-26,12.716811180114746,908200,0.0
2000-04-27,12.95450496673584,1745800,0.0
2000-04-28,12.796036720275879,1451600,0.0
2000-05-01,12.815849304199219,1827400,0.0
2000-05-02,12.895082473754883,1803600,0.0
2000-05-03,12.855464935302734,1219600,0.0
2000-05-04,12.657380104064941,2078400,0.0
2000-05-05,12.479107856750488,1786400,0.0
2000-05-08,12.756427764892578,1469800,0.0
2000-05-09,12.696993827819824,1664000,0.0
2000-05-10,13.231823921203613,1814000,0.0
2000-05-11,13.152588844299316,5960200,0.0
2000-05-12,13.964719772338867,4789800,0.0
2000-05-15,14.242037773132324,2729800,0.0
2000-05-16,14.757049560546875,7587000,0.0
2000-05-17,14.757049560546875,4932800,0.0
2000-05-18,14.677816390991211,4023800,0.0
2000-05-19,14.836276054382324,2424200,0.0
2000-05-22,15.707836151123047,5611000,0.0
2000-05-23,14.994739532470703,5675600,0.0
2000-05-24,14.935321807861328,2965600,0.0
2000-05-25,15.192822456359863,2782400,0.0
2000-05-26,14.162801742553711,4164400,0.0
2000-05-30,14.341068267822266,2494200,0.0
2000-05-31,13.172394752502441,4146800,0.0
2000-06-01,13.588363647460938,2928800,0.0
2000-06-02,13.311051368713379,2313800,0.0
2000-06-05,13.291250228881836,1296800,0.0
2000-06-06,13.885483741760254,2855400,0.0
2000-06-07,13.647790908813477,1596200,0.0
2000-06-08,13.39028263092041,1662600,0.0
2000-06-09,13.152588844299316,915800,0.0
2000-06-12,13.221918106079102,1122800,0.0
2000-06-13,12.776237487792969,1985800,0.0
2000-06-14,13.608176231384277,3178600,0.0
2000-06-15,13.350665092468262,2509000,0.0
2000-06-16,13.1129732131958,2383600,0.0
2000-06-19,12.736621856689453,2886600,0.0
2000-06-20,12.419679641723633,2763400,0.0
2000-06-21,12.439496994018555,2722400,0.0
2000-06-22,11.746209144592285,3183600,0.0
2000-06-23,11.944295883178711,2080000,0.0
2000-06-26,11.884865760803223,1769000,0.0
2000-06-27,12.399877548217773,3539800,0.0
2000-06-28,12.360435485839844,3605800,0.11
2000-06-29,11.752872467041016,3565200,0.0
2000-06-30,11.792719841003418,3062200,0.0
2000-07-03,12.270795822143555,2019400,0.0
2000-07-05,12.469991683959961,2000800,0.0
2000-07-06,12.330557823181152,1626400,0.0
2000-07-07,12.450080871582031,1562400,0.0
2000-07-10,12.310638427734375,1567000,0.0
2000-07-11,12.29071044921875,2183800,0.0
