Date,Close,Volume,Dividends
2000-02-23,14.675097465515137,13700,0.0
2000-02-24,14.596199035644531,34200,0.0
2000-02-25,14.464699745178223,23500,0.0
2000-02-28,14.543604850769043,45200,0.0
2000-02-29,14.832894325256348,89100,0.0
2000-03-01,14.990693092346191,148600,0.0
2000-03-02,14.990693092346191,173100,0.0
2000-03-03,15.122179985046387,82700,0.0
2000-03-06,15.174787521362305,72700,0.0
2000-03-07,15.14848804473877,93600,0.0
2000-03-08,15.14848804473877,24700,0.0
2000-03-09,15.174787521362305,18000,0.0
2000-03-10,15.122179985046387,59600,0.0
2000-03-13,15.122179985046387,30000,0.0
2000-03-14,15.122179985046387,23700,0.0
2000-03-15,15.016989707946777,108700,0.0
2000-03-16,15.122179985046387,63800,0.0
2000-03-17,15.14848804473877,50600,0.0
2000-03-20,15.09588623046875,26800,0.0
2000-03-21,15.122179985046387,15900,0.0
2000-03-22,15.14848804473877,41400,0.0
2000-03-23,15.09588623046875,20500,0.0
2000-03-24,14.964384078979492,31800,0.0
2000-03-27,15.069591522216797,12200,0.0
2000-03-28,15.04328727722168,54300,0.0
2000-03-29,15.358463287353516,48300,0.55
2000-03-30,15.358463287353516,139800,0.0
2000-03-31,15.385188102722168,43900,0.0
2000-04-03,15.545443534851074,34400,0.0
2000-04-04,15.62557601928711,479500,0.0
2000-04-05,15.679000854492188,42500,0.0
2000-04-06,15.946098327636719,170400,0.0
2000-04-07,15.946098327636719,69100,0.0
2000-04-10,15.89267635345459,52800,0.0
2000-04-11,15.919391632080078,56200,0.0
2000-04-12,16.07965087890625,51500,0.0
2000-04-13,16.106351852416992,20600,0.0
2000-04-14,16.1597900390625,42200,0.0
2000-04-17,16.239913940429688,123600,0.0
2000-04-18,16.18648910522461,25800,0.0
2000-04-19,16.07965087890625,71300,0.0
2000-04-20,16.1597900390625,39900,0.0
2000-04-24,16.05294418334961,49500,0.0
2000-04-25,16.266624450683594,30200,0.0
2000-04-26,16.1597900390625,44300,0.0
2000-04-27,16.507022857666016,74200,0.0
2000-04-28,16.507022857666016,38400,0.0
2000-05-01,16.613855361938477,41700,0.0
2000-05-02,16.774126052856445,87500,0.0
2000-05-03,16.827537536621094,111600,0.0
2000-05-04,17.04122543334961,35500,0.0
2000-05-05,17.201494216918945,80700,0.0
2000-05-08,17.121356964111328,32400,0.0
2000-05-09,17.254911422729492,34100,0.0
2000-05-10,17.201494216918945,83900,0.0
2000-05-11,17.174789428710938,32600,0.0
2000-05-12,17.254911422729492,40300,0.0
2000-05-15,17.468595504760742,53300,0.0
2000-05-16,17.682275772094727,42200,0.0
2000-05-17,17.575437545776367,23500,0.0
2000-05-18,17.388458251953125,191600,0.0
2000-05-19,17.388458251953125,28900,0.0
2000-05-22,17.335037231445312,75800,0.0
2000-05-23,17.281612396240234,40800,0.0
2000-05-24,17.201494216918945,17100,0.0
2000-05-25,16.987804412841797,43200,0.0
2000-05-26,17.014514923095703,23500,0.0
2000-05-30,17.09463882446289,20700,0.0
2000-05-31,17.014514923095703,54600,0.0
2000-06-01,17.06793785095215,10900,0.0
2000-06-02,17.06793785095215,18400,0.0
2000-06-05,17.06793785095215,52100,0.0
2000-06-06,17.174789428710938,76800,0.0
2000-06-07,17.201494216918945,27000,0.0
2000-06-08,17.22819709777832,51100,0.0
2000-06-09,17.281612396240234,18400,0.0
2000-06-12,17.308340072631836,37800,0.0
2000-06-13,17.548723220825195,88000,0.0
2000-06-14,17.708988189697266,59800,0.0
2000-06-15,17.84253692626953,98700,0.0
2000-06-16,17.92266845703125,39300,0.0
2000-06-19,18.350025177001953,28400,0.0
2000-06-20,18.323331832885742,22800,0.0
2000-06-21,18.136348724365234,31400,0.0
2000-06-22,17.949373245239258,38400,0.0
2000-06-23,18.323331832885742,72800,0.0
2000-06-26,18.53701400756836,36800,0.0
2000-06-27,18.804113388061523,20400,0.0
2000-06-28,18.7976131439209,18100,0.61
2000-06-29,18.824697494506836,26600,0.0
2000-06-30,18.208494186401367,100000,0.0
2000-07-03,18.3371524810791,14200,0.0
2000-07-05,18.608001708984375,25200,0.0
2000-07-06,18.499666213989258,84300,0.0
2000-07-07,18.445486068725586,47600,0.0
2000-07-10,18.472578048706055,28400,0.0
2000-07-11,18.635099411010742,93600,0.0
2000-07-12,18.7976131439209,19900,0.0
2000-07-13,19.176816940307617,80700,0.0
2000-07-14,19.095548629760742,68400,0.0
2000-07-17,19.068470001220703,28500,0.0
2000-07-18,19.04138946533203,15900,0.0
2000-07-19,19.312244415283203,22900,0.0
2000-07-20,19.71854019165039,205900,0.0
2000-07-21,19.39350128173828,78900,0.0
2000-07-24,19.528928756713867,89700,0.0
2000-07-25,19.772705078125,68900,0.0
2000-07-26,20.097728729248047,65000,0.0
2000-07-27,20.74779510498047,67900,0.0
2000-07-28,21.235342025756836,392700,0.0
2000-07-31,21.34368324279785,105100,0.0
2000-08-01,21.587459564208984,99300,0.0
2000-08-02,22.10209083557129,141700,0.0
2000-08-03,22.29168128967285,110500,0.0
2000-08-04,22.23751449584961,80200,0.0
2000-08-07,22.10209083557129,82800,0.0
2000-08-08,21.939563751220703,89600,0.0
2000-08-09,22.42711639404297,78100,0.0
2000-08-10,22.07499122619629,64300,0.0
2000-08-11,21.939563751220703,56300,0.0
2000-08-14,22.04791259765625,21500,0.0
2000-08-15,21.88540267944336,22000,0.0
2000-08-16,21.993745803833008,56500,0.0
2000-08-17,22.04791259765625,29800,0.0
2000-08-18,21.912500381469727,54300,0.0
2000-08-21,21.587459564208984,55700,0.0
2000-08-22,21.83123016357422,71900,0.0
2000-08-23,21.533296585083008,66300,0.0
2000-08-24,21.560375213623047,52900,0.0
2000-08-25,21.64162254333496,78000,0.0
2000-08-28,21.506200790405273,25100,0.0
2000-08-29,21.45203399658203,27100,0.0
2000-08-30,21.34368324279785,87900,0.0
