Date,Close,Volume,Dividends
2000-05-02,24.0,2051300,0.0
2000-05-03,22.5,1734900,0.0
2000-05-04,21.125,1235300,0.0
2000-05-05,20.875,1164400,0.0
2000-05-08,20.25,750000,0.0
2000-05-09,20.1875,1221300,0.0
2000-05-10,19.375,1240300,0.0
2000-05-11,20.0,1602200,0.0
2000-05-12,21.375,1807800,0.0
2000-05-15,21.6875,800900,0.0
2000-05-16,22.25,646100,0.0
2000-05-17,21.875,861300,0.0
2000-05-18,24.0,1856900,0.0
2000-05-19,22.75,1248800,0.0
2000-05-22,20.0,1056700,0.0
2000-05-23,19.875,1311500,0.0
2000-05-24,19.5,845700,0.0
2000-05-25,18.1875,1078300,0.0
2000-05-26,18.0,367000,0.0
2000-05-30,20.0,446000,0.0
2000-05-31,19.3125,1091600,0.0
2000-06-01,20.125,1126000,0.0
2000-06-02,23.0,1646900,0.0
2000-06-05,22.875,615800,0.0
2000-06-06,23.125,735300,0.0
2000-06-07,22.25,299900,0.0
2000-06-08,22.625,476800,0.0
2000-06-09,23.25,428200,0.0
2000-06-12,24.0625,665000,0.0
2000-06-13,23.4375,300500,0.0
2000-06-14,22.9375,172600,0.0
2000-06-15,23.0,323500,0.0
2000-06-16,21.0625,1229000,0.0
2000-06-19,21.25,358700,0.0
2000-06-20,21.875,714400,0.0
2000-06-21,22.6875,488400,0.0
2000-06-22,22.5,1281100,0.0
2000-06-23,23.625,737900,0.0
2000-06-26,23.625,473000,0.0
2000-06-27,22.9375,432100,0.0
2000-06-28,23.4375,322500,0.0
2000-06-29,23.0625,308700,0.0
2000-06-30,21.875,851400,0.0
2000-07-03,22.75,156400,0.0
2000-07-05,21.5625,644700,0.0
2000-07-06,21.8125,382000,0.0
2000-07-07,21.8125,1265000,0.0
2000-07-10,21.75,1233200,0.0
2000-07-11,22.0,1450100,0.0
2000-07-12,21.9375,217700,0.0
2000-07-13,20.5,649500,0.0
2000-07-14,21.5625,586000,0.0
2000-07-17,22.0,787900,0.0
2000-07-18,21.9375,306900,0.0
2000-07-19,20.25,335500,0.0
2000-07-20,21.0,196300,0.0
2000-07-21,20.5,618600,0.0
2000-07-24,20.75,352200,0.0
2000-07-25,21.125,1118200,0.0
2000-07-26,21.1875,1511700,0.0
2000-07-27,20.0,1171200,0.0
2000-07-28,20.0,1541400,0.0
2000-07-31,22.125,678800,0.0
