Date,Close,Volume,Dividends
2000-02-23,7.705030918121338,242400,0.0
2000-02-24,7.61163330078125,187700,0.0
2000-02-25,7.5182414054870605,187100,0.0
2000-02-28,7.378146171569824,171700,0.0
2000-02-29,7.238056659698486,264700,0.0
2000-03-01,7.284751892089844,273400,0.0
2000-03-02,7.238056659698486,337300,0.0
2000-03-03,7.564934253692627,261300,0.0
2000-03-06,7.331452369689941,170000,0.0
2000-03-07,7.284751892089844,733100,0.0
2000-03-08,7.097963809967041,273800,0.0
2000-03-09,7.097963809967041,242300,0.0
2000-03-10,7.798425197601318,404800,0.0
2000-03-13,7.65833044052124,270700,0.0
2000-03-14,7.4715399742126465,242000,0.0
2000-03-15,7.4715399742126465,279600,0.0
2000-03-16,7.5182414054870605,921200,0.0
2000-03-17,7.424844741821289,451100,0.0
2000-03-20,7.424844741821289,342200,0.0
2000-03-21,7.097963809967041,538000,0.0
2000-03-22,7.798425197601318,2229400,0.0
2000-03-23,7.5182414054870605,1142000,0.0
2000-03-24,7.378146171569824,421500,0.0
2000-03-27,7.378146171569824,285800,0.0
2000-03-28,7.378146171569824,1063800,0.0
2000-03-29,7.284751892089844,340600,0.0
2000-03-30,7.378146171569824,622300,0.0
2000-03-31,7.65833044052124,692300,0.0
2000-04-03,7.751723766326904,441400,0.0
2000-04-04,8.498883247375488,842600,0.0
2000-04-05,8.638972282409668,624700,0.0
2000-04-06,8.452180862426758,277500,0.0
2000-04-07,8.312092781066895,346200,0.0
2000-04-10,8.82575798034668,493100,0.0
2000-04-11,8.545577049255371,235500,0.0
2000-04-12,8.265392303466797,179400,0.0
2000-04-13,7.9852094650268555,213200,0.0
2000-04-14,7.61163330078125,418900,0.0
2000-04-17,7.564934253692627,335800,0.0
2000-04-18,7.564934253692627,240000,0.0
2000-04-19,7.424844741821289,191600,0.0
2000-04-20,7.65833044052124,214200,0.0
2000-04-24,7.424844741821289,259000,0.0
2000-04-25,7.5182414054870605,312200,0.0
2000-04-26,7.284751892089844,643600,0.0
2000-04-27,6.537600994110107,684300,0.0
2000-04-28,6.724388122558594,341700,0.0
2000-05-01,6.724388122558594,283200,0.0
2000-05-02,6.537600994110107,347500,0.0
2000-05-03,6.397509574890137,266300,0.0
2000-05-04,6.584296703338623,228500,0.0
2000-05-05,6.817781448364258,492100,0.0
2000-05-08,6.677690505981445,266600,0.0
2000-05-09,6.677690505981445,343000,0.0
2000-05-10,6.537600994110107,161500,0.0
2000-05-11,6.444204807281494,280200,0.0
2000-05-12,6.444204807281494,97800,0.0
2000-05-15,6.490902900695801,259200,0.0
2000-05-16,6.537600994110107,196300,0.0
2000-05-17,6.444204807281494,222900,0.0
2000-05-18,6.397509574890137,153500,0.0
2000-05-19,6.444204807281494,220800,0.0
2000-05-22,6.304114818572998,156700,0.0
2000-05-23,6.304114818572998,230500,0.0
