Date,Close,Volume,Dividends
2000-02-23,63.34022521972656,326800,0.0
2000-02-24,64.45195007324219,265600,0.0
2000-02-25,65.64603424072266,315600,0.0
2000-02-28,65.37150573730469,418000,0.0
2000-02-29,63.76568603515625,286000,0.0
2000-03-01,64.09507751464844,496000,0.0
2000-03-02,57.939491271972656,369600,0.0
2000-03-03,62.96965789794922,558600,0.0
2000-03-06,58.46790313720703,355000,0.0
2000-03-07,59.785499572753906,276800,0.0
2000-03-08,62.365753173828125,259000,0.0
2000-03-09,63.189247131347656,284600,0.0
2000-03-10,59.73057556152344,170000,0.0
2000-03-13,57.75419998168945,314600,0.0
2000-03-14,55.77783203125,312600,0.0
2000-03-15,55.119041442871094,853000,0.0
2000-03-16,52.07211685180664,744600,0.0
2000-03-17,51.01529312133789,381400,0.0
2000-03-20,42.876461029052734,644600,0.0
2000-03-21,52.63483428955078,687000,0.0
2000-03-22,57.095428466796875,771600,0.0
2000-03-23,51.96230697631836,514600,0.0
2000-03-24,54.13085174560547,683800,0.0
2000-03-27,53.38969802856445,258000,0.0
2000-03-28,50.69962692260742,360800,0.0
2000-03-29,48.94284439086914,344600,0.0
2000-03-30,45.67633819580078,498200,0.0
2000-03-31,41.723567962646484,664000,0.0
2000-04-03,40.570674896240234,527400,0.0
2000-04-04,42.190216064453125,1539800,0.0
2000-04-05,44.35873794555664,790400,0.0
2000-04-06,46.99392318725586,292200,0.0
2000-04-07,48.94284439086914,361200,0.0
2000-04-10,45.59398651123047,417000,0.0
2000-04-11,41.75102615356445,805800,0.0
2000-04-12,38.649208068847656,529800,0.0
2000-04-13,35.65718078613281,589600,0.0
2000-04-14,30.743680953979492,715000,0.0
2000-04-17,38.649208068847656,609800,0.0
2000-04-18,44.29697799682617,811400,0.0
2000-04-19,46.55472183227539,867000,0.0
2000-04-20,43.48035430908203,572500,0.0
2000-04-24,38.59431076049805,310500,0.0
2000-04-25,44.35873794555664,320900,0.0
2000-04-26,39.25309753417969,451200,0.0
2000-04-27,45.621429443359375,338200,0.0
2000-04-28,45.67633819580078,312000,0.0
2000-05-01,46.17043685913086,212900,0.0
2000-05-02,45.017539978027344,338700,0.0
2000-05-03,44.13915252685547,406700,0.0
2000-05-04,45.12733459472656,234800,0.0
2000-05-05,50.45258331298828,516900,0.0
2000-05-08,47.488014221191406,395300,0.0
2000-05-09,41.94316864013672,411000,0.0
2000-05-10,39.747196197509766,209100,0.0
2000-05-11,44.7430419921875,220800,0.0
2000-05-12,43.59016036987305,293100,0.0
2000-05-15,45.45673370361328,276600,0.0
2000-05-16,45.841033935546875,354900,0.0
2000-05-17,43.974449157714844,150800,0.0
2000-05-18,39.08839416503906,231700,0.0
2000-05-19,37.880611419677734,330500,0.0
2000-05-22,36.28853225708008,334500,0.0
2000-05-23,35.1905403137207,424300,0.0
2000-05-24,36.4532356262207,735300,0.0
2000-05-25,34.696434020996094,456500,0.0
2000-05-26,35.95913314819336,219300,0.0
2000-05-30,43.864654541015625,353100,0.0
2000-05-31,40.46087646484375,351400,0.0
2000-06-01,48.860496520996094,733000,0.0
2000-06-02,53.14265441894531,536700,0.0
2000-06-05,52.92306137084961,327600,0.0
2000-06-06,49.87614822387695,200500,0.0
2000-06-07,48.09190368652344,431900,0.0
2000-06-08,51.05647659301758,511800,0.0
2000-06-09,53.472049713134766,299700,0.0
2000-06-12,52.64855194091797,474500,0.0
2000-06-13,51.49568557739258,775100,0.0
2000-06-14,44.5234375,374900,0.0
2000-06-15,47.21352767944336,545800,0.0
2000-06-16,48.3115119934082,284800,0.0
2000-06-19,50.89177703857422,231600,0.0
2000-06-20,56.10722351074219,498400,0.0
2000-06-21,53.80144500732422,366500,0.0
2000-06-22,51.55056381225586,425000,0.0
2000-06-23,52.86815643310547,350000,0.0
2000-06-26,51.605464935302734,699400,0.0
