Date,Close,Volume,Dividends
2000-02-23,4.0625,40400,0.0
2000-02-24,4.0,50800,0.0
2000-02-25,3.875,65600,0.0
2000-02-28,4.9375,116000,0.0
2000-02-29,5.375,165200,0.0
2000-03-01,5.0,111500,0.0
2000-03-02,4.6875,76500,0.0
2000-03-03,5.1875,92300,0.0
2000-03-06,6.0,323700,0.0
2000-03-07,5.75,150300,0.0
2000-03-08,5.5,34800,0.0
2000-03-09,5.6875,45500,0.0
2000-03-10,5.75,57700,0.0
2000-03-13,5.5625,128800,0.0
2000-03-14,5.75,79400,0.0
2000-03-15,5.625,41400,0.0
2000-03-16,5.8125,28200,0.0
2000-03-17,5.6875,55500,0.0
2000-03-20,5.375,72700,0.0
2000-03-21,5.6875,56100,0.0
2000-03-22,5.6875,40000,0.0
2000-03-23,5.375,57200,0.0
2000-03-24,5.75,81100,0.0
2000-03-27,5.75,73000,0.0
2000-03-28,5.875,321500,0.0
2000-03-29,5.875,43500,0.0
2000-03-30,5.75,39400,0.0
2000-03-31,5.875,87300,0.0
2000-04-03,6.375,136600,0.0
2000-04-04,6.0625,189600,0.0
2000-04-05,5.875,121300,0.0
2000-04-06,6.6875,409900,0.0
2000-04-07,8.0,463800,0.0
2000-04-10,6.6875,262300,0.0
2000-04-11,7.0625,128000,0.0
2000-04-12,6.625,35200,0.0
2000-04-13,6.0,114900,0.0
2000-04-14,5.5,126200,0.0
2000-04-17,5.8125,139200,0.0
2000-04-18,5.9375,102500,0.0
2000-04-19,5.875,18000,0.0
2000-04-20,5.5625,25800,0.0
2000-04-24,5.3125,59200,0.0
2000-04-25,5.0,51000,0.0
2000-04-26,5.25,60400,0.0
2000-04-27,5.375,8500,0.0
2000-04-28,5.375,28800,0.0
2000-05-01,5.75,47400,0.0
2000-05-02,5.0625,49600,0.0
2000-05-03,5.125,52000,0.0
2000-05-04,5.0625,17000,0.0
2000-05-05,5.0625,30800,0.0
2000-05-08,4.875,37200,0.0
2000-05-09,4.375,62600,0.0
2000-05-10,4.6875,37100,0.0
2000-05-11,4.8125,11300,0.0
2000-05-12,4.5,30800,0.0
2000-05-15,4.75,37500,0.0
2000-05-16,4.625,23900,0.0
2000-05-17,4.4375,51500,0.0
2000-05-18,4.375,24900,0.0
2000-05-19,4.3125,57700,0.0
2000-05-22,4.0625,47700,0.0
2000-05-23,3.875,62000,0.0
2000-05-24,3.875,106100,0.0
2000-05-25,3.8125,118000,0.0
2000-05-26,3.25,96900,0.0
2000-05-30,3.5625,91300,0.0
2000-05-31,4.0,28400,0.0
2000-06-01,4.1875,34300,0.0
2000-06-02,4.1875,61600,0.0
2000-06-05,4.0,46500,0.0
2000-06-06,3.8125,36700,0.0
2000-06-07,3.9375,14700,0.0
2000-06-08,4.0,40300,0.0
2000-06-09,4.0,50900,0.0
2000-06-12,3.9375,68500,0.0
2000-06-13,3.6875,43000,0.0
2000-06-14,3.5625,53400,0.0
2000-06-15,3.5625,68100,0.0
2000-06-16,3.625,78000,0.0
2000-06-19,3.5625,48800,0.0
2000-06-20,3.4375,65000,0.0
2000-06-21,3.625,47600,0.0
2000-06-22,3.3125,21400,0.0
2000-06-23,3.375,42800,0.0
2000-06-26,3.1875,134400,0.0
2000-06-27,3.0,109800,0.0
2000-06-28,3.1875,93000,0.0
2000-06-29,2.9375,162500,0.0
2000-06-30,2.5625,555100,0.0
2000-07-03,2.8125,98200,0.0
2000-07-05,2.8125,90600,0.0
2000-07-06,3.125,67600,0.0
2000-07-07,2.9375,75700,0.0
2000-07-10,2.9375,61500,0.0
2000-07-11,2.875,52800,0.0
2000-07-12,2.75,42300,0.0
2000-07-13,2.8125,28300,0.0
2000-07-14,2.75,102100,0.0
2000-07-17,2.875,159600,0.0
2000-07-18,2.75,89800,0.0
2000-07-19,2.75,23300,0.0
2000-07-20,2.75,21200,0.0
2000-07-21,2.5625,56200,0.0
2000-07-24,2.5625,43300,0.0
2000-07-25,2.5625,21100,0.0
2000-07-26,2.625,23100,0.0
2000-07-27,2.6875,10700,0.0
2000-07-28,2.5625,7900,0.0
2000-07-31,2.5625,33700,0.0
2000-08-01,2.25,92400,0.0
2000-08-02,2.125,144200,0.0
2000-08-03,2.0,69700,0.0
2000-08-04,2.0,59600,0.0
2000-08-07,2.0,34900,0.0
2000-08-08,2.0,31500,0.0
2000-08-09,1.875,50600,0.0
2000-08-10,1.875,18200,0.0
2000-08-11,2.0,35900,0.0
2000-08-14,1.9375,53300,0.0
2000-08-15,1.875,162100,0.0
2000-08-16,2.125,53600,0.0
2000-08-17,1.9375,86800,0.0
2000-08-18,2.4375,493900,0.0
2000-08-21,2.875,416100,0.0
2000-08-22,2.5625,165600,0.0
2000-08-23,2.375,62800,0.0
2000-08-24,2.125,70000,0.0
2000-08-25,2.1875,23900,0.0
2000-08-28,2.0625,52900,0.0
2000-08-29,2.125,54600,0.0
2000-08-30,2.125,38400,0.0
2000-08-31,2.1875,40800,0.0
2000-09-01,2.25,51900,0.0
2000-09-05,2.25,28300,0.0
2000-09-06,2.1875,85600,0.0
2000-09-07,2.375,153200,0.0
2000-09-08,2.1875,42400,0.0
2000-09-11,2.375,69700,0.0
2000-09-12,2.25,124500,0.0
2000-09-13,2.125,42700,0.0
2000-09-14,2.1875,59400,0.0
2000-09-15,2.125,41500,0.0
2000-09-18,2.1875,36400,0.0
2000-09-19,2.0625,32400,0.0
2000-09-20,2.0,88100,0.0
2000-09-21,2.0,30500,0.0
2000-09-22,2.0,82200,0.0
2000-09-25,2.0,68300,0.0
2000-09-26,1.8125,62600,0.0
2000-09-27,1.8125,30900,0.0
2000-09-28,1.9375,51500,0.0
2000-09-29,2.0,30300,0.0
2000-10-02,1.5,140300,0.0
2000-10-03,1.5625,145500,0.0
2000-10-04,1.75,22900,0.0
2000-10-05,1.8125,12000,0.0
2000-10-06,1.8125,41300,0.0
2000-10-09,1.5625,68800,0.0
2000-10-10,2.0625,109600,0.0
2000-10-11,1.8125,78700,0.0
2000-10-12,1.5625,82800,0.0
2000-10-13,1.75,85200,0.0
2000-10-16,1.6875,173100,0.0
2000-10-17,1.75,32900,0.0
2000-10-18,1.8125,53600,0.0
2000-10-19,1.875,229500,0.0
2000-10-20,1.9375,16300,0.0
2000-10-23,2.0625,56300,0.0
2000-10-24,2.25,99200,0.0
2000-10-25,2.375,70800,0.0
2000-10-26,2.25,46400,0.0
2000-10-27,2.375,48800,0.0
2000-10-30,2.25,28400,0.0
2000-10-31,2.4375,25900,0.0
2000-11-01,2.3125,39100,0.0
2000-11-02,2.3125,24000,0.0
2000-11-03,2.25,15900,0.0
2000-11-06,2.125,31400,0.0
2000-11-07,2.0625,35100,0.0
2000-11-08,2.0,15800,0.0
2000-11-09,2.0,24600,0.0
2000-11-10,2.0,32600,0.0
2000-11-13,2.0,52700,0.0
2000-11-14,2.0,39000,0.0
2000-11-15,2.0,17000,0.0
2000-11-16,2.0,63500,0.0
2000-11-17,2.0,76100,0.0
2000-11-20,2.0,106500,0.0
2000-11-21,2.0,69400,0.0
2000-11-22,2.0,108700,0.0
2000-11-24,2.0,26200,0.0
2000-11-27,2.0,93200,0.0
2000-11-28,2.0,129500,0.0
2000-11-29,2.0,159400,0.0
2000-11-30,2.0,82900,0.0
2000-12-01,2.0,13100,0.0
2000-12-04,2.0,53000,0.0
2000-12-05,2.0,58000,0.0
2000-12-06,1.75,17200,0.0
2000-12-07,1.5,68900,0.0
2000-12-08,1.75,536700,0.0
2000-12-11,1.4375,90300,0.0
2000-12-12,1.9375,113800,0.0
2000-12-13,1.625,68100,0.0
2000-12-14,1.6875,68400,0.0
2000-12-15,1.5625,21600,0.0
2000-12-18,1.5,45700,0.0
2000-12-19,1.4375,56000,0.0
2000-12-20,1.375,73300,0.0
2000-12-21,1.375,94300,0.0
2000-12-22,1.3125,71100,0.0
2000-12-26,1.125,166800,0.0
2000-12-27,1.125,96700,0.0
2000-12-28,1.4375,195900,0.0
2000-12-29,1.6875,241600,0.0
2001-01-02,1.75,123800,0.0
2001-01-03,1.8125,41500,0.0
2001-01-04,1.75,40800,0.0
2001-01-05,1.75,46300,0.0
2001-01-08,1.8125,13100,0.0
2001-01-09,2.0,50400,0.0
2001-01-10,1.9375,33800,0.0
2001-01-11,1.9375,3200,0.0
2001-01-12,1.9375,57700,0.0
2001-01-16,1.9375,32200,0.0
2001-01-17,1.75,30200,0.0
2001-01-18,1.625,22500,0.0
2001-01-19,1.875,13300,0.0
2001-01-22,1.75,29700,0.0
2001-01-23,2.0,40200,0.0
2001-01-24,1.9375,13300,0.0
2001-01-25,2.0625,40600,0.0
2001-01-26,1.8125,375300,0.0
2001-01-29,1.7899999618530273,19200,0.0
2001-01-30,1.9700000286102295,24900,0.0
2001-01-31,1.75,58300,0.0
2001-02-01,1.7899999618530273,3600,0.0
2001-02-02,1.7100000381469727,16800,0.0
2001-02-05,1.940000057220459,4900,0.0
2001-02-06,1.850000023841858,16900,0.0
2001-02-07,1.9500000476837158,20100,0.0
2001-02-08,1.8600000143051147,16200,0.0
2001-02-09,1.8300000429153442,13400,0.0
2001-02-12,1.8300000429153442,8900,0.0
2001-02-13,1.7000000476837158,23900,0.0
2001-02-14,1.600000023841858,34200,0.0
2001-02-15,1.6799999475479126,12600,0.0
2001-02-16,1.4900000095367432,42100,0.0
2001-02-20,1.399999976158142,46400,0.0
2001-02-21,1.399999976158142,47600,0.0
2001-02-22,1.399999976158142,75900,0.0
2001-02-23,1.4500000476837158,4800,0.0
2001-02-26,1.25,27600,0.0
2001-02-27,1.2799999713897705,21800,0.0
2001-02-28,1.399999976158142,7500,0.0
2001-03-01,1.3899999856948853,28500,0.0
2001-03-02,1.350000023841858,22800,0.0
2001-03-05,1.399999976158142,16600,0.0
2001-03-06,1.1200000047683716,225900,0.0
2001-03-07,1.25,96700,0.0
2001-03-08,1.2599999904632568,42500,0.0
2001-03-09,1.350000023841858,57700,0.0
2001-03-12,1.149999976158142,32900,0.0
2001-03-13,1.2999999523162842,13000,0.0
2001-03-14,1.2899999618530273,13700,0.0
2001-03-15,1.3300000429153442,52300,0.0
2001-03-16,1.2599999904632568,26000,0.0
2001-03-19,1.1399999856948853,33700,0.0
2001-03-20,1.2400000095367432,214400,0.0
2001-03-21,1.2400000095367432,5800,0.0
2001-03-22,1.159999966621399,11100,0.0
2001-03-23,1.2400000095367432,22700,0.0
2001-03-26,1.2799999713897705,25000,0.0
2001-03-27,1.399999976158142,96700,0.0
2001-03-28,1.3200000524520874,15100,0.0
2001-03-29,1.5199999809265137,70500,0.0
2001-03-30,1.899999976158142,107300,0.0
2001-04-02,1.559999942779541,46700,0.0
2001-04-03,1.5,31400,0.0
2001-04-04,1.4299999475479126,10600,0.0
2001-04-05,1.5,13900,0.0
2001-04-06,1.5499999523162842,21200,0.0
2001-04-09,1.5800000429153442,19400,0.0
2001-04-10,1.5499999523162842,8000,0.0
2001-04-11,1.5499999523162842,4800,0.0
2001-04-12,1.5,31200,0.0
2001-04-16,1.3600000143051147,29800,0.0
2001-04-17,1.4900000095367432,126500,0.0
2001-04-18,1.399999976158142,66300,0.0
2001-04-19,1.5,14600,0.0
2001-04-20,1.5399999618530273,6600,0.0
2001-04-23,1.5399999618530273,63100,0.0
2001-04-24,1.5399999618530273,38200,0.0
2001-04-25,1.4500000476837158,48800,0.0
2001-04-26,1.4900000095367432,53500,0.0
2001-04-27,1.5099999904632568,98500,0.0
2001-04-30,1.5499999523162842,48400,0.0
2001-05-01,1.5,56300,0.0
2001-05-02,1.5099999904632568,31300,0.0
2001-05-03,1.5,8900,0.0
2001-05-04,1.5099999904632568,32400,0.0
2001-05-07,1.5,47400,0.0
2001-05-08,1.6200000047683716,55200,0.0
2001-05-09,1.600000023841858,79800,0.0
2001-05-10,1.6299999952316284,35300,0.0
2001-05-11,1.7799999713897705,103100,0.0
2001-05-14,1.9900000095367432,252200,0.0
2001-05-15,2.1500000953674316,114800,0.0
2001-05-16,2.119999885559082,56600,0.0
2001-05-17,2.0899999141693115,37400,0.0
2001-05-18,2.240000009536743,46100,0.0
2001-05-21,2.549999952316284,227400,0.0
2001-05-22,2.75,295100,0.0
2001-05-23,2.690000057220459,63000,0.0
2001-05-24,2.859999895095825,204800,0.0
2001-05-25,2.819999933242798,90400,0.0
2001-05-29,2.5799999237060547,109300,0.0
2001-05-30,2.640000104904175,80600,0.0
2001-05-31,2.549999952316284,94700,0.0
2001-06-01,2.5999999046325684,21200,0.0
2001-06-04,2.6700000762939453,30100,0.0
2001-06-05,2.6500000953674316,48300,0.0
2001-06-06,2.799999952316284,71000,0.0
2001-06-07,2.75,197300,0.0
2001-06-08,2.690000057220459,18800,0.0
2001-06-11,2.640000104904175,33300,0.0
2001-06-12,2.640000104904175,14500,0.0
2001-06-13,2.5999999046325684,47200,0.0
2001-06-14,2.5999999046325684,35300,0.0
2001-06-15,2.609999895095825,38500,0.0
2001-06-18,2.5999999046325684,53700,0.0
2001-06-19,2.569999933242798,11900,0.0
2001-06-20,2.700000047683716,54600,0.0
2001-06-21,2.5199999809265137,3400,0.0
2001-06-22,2.549999952316284,18600,0.0
2001-06-25,2.309999942779541,49100,0.0
2001-06-26,2.5,27300,0.0
2001-06-27,2.450000047683716,16000,0.0
2001-06-28,2.4000000953674316,104400,0.0
2001-06-29,2.4000000953674316,47000,0.0
2001-07-02,2.430000066757202,31600,0.0
2001-07-03,2.4100000858306885,1200,0.0
2001-07-05,2.3499999046325684,41100,0.0
2001-07-06,2.3499999046325684,37200,0.0
2001-07-09,2.299999952316284,7000,0.0
2001-07-10,2.3499999046325684,15100,0.0
2001-07-11,2.299999952316284,8400,0.0
2001-07-12,2.2799999713897705,16600,0.0
2001-07-13,2.319999933242798,7700,0.0
2001-07-16,2.200000047683716,16700,0.0
2001-07-17,2.1600000858306885,251100,0.0
2001-07-18,2.2300000190734863,24100,0.0
2001-07-19,2.359999895095825,60200,0.0
2001-07-20,2.4000000953674316,77500,0.0
2001-07-23,2.450000047683716,50400,0.0
2001-07-24,2.4600000381469727,54900,0.0
2001-07-25,2.430000066757202,153200,0.0
2001-07-26,2.5,85600,0.0
2001-07-27,2.450000047683716,16600,0.0
2001-07-30,2.490000009536743,97100,0.0
2001-07-31,2.6500000953674316,250500,0.0
2001-08-01,2.8399999141693115,109100,0.0
2001-08-02,2.75,69300,0.0
2001-08-03,2.9100000858306885,41900,0.0
2001-08-06,3.0,31100,0.0
